E yu mbena ka'. E fúú efa rkwe aèmboè e m laèa naè. Vúè neè yá mbe dïì' ce yi gúèú yi mú noêñ.	He is not here, for he has risen, just like he said. Come, see the place where the Lord was lying.
Woweèe a lor ye a ce duè aègho, a ka' baè' aè nduunjïì, a tarte a ñwáè moè' ce a m ce too ená Saimúèn ce aè rla' Saèireên, ce e m ce vúè efa mñkúè. A m koo ye a fa kïìntaa neè ye ená e byá', ce jár mbenjïì Jisoès.	When they led him away, they grabbed one Simon of Cyrene, coming from the country, and laid on him the cross, to carry it after Jesus.
Jisoès aè beesïì enáê, “Yuu ce wáè bipshi na, aè ku kwa'shi ba wáè káè aè suñ beèe mo' a suñ wáè a kuu máè?”	"Jesus answered him, ""Do you say this by yourself, or did others tell you about me?"""
Waè' yi yu ená yuu ce yi m ba boèñboñ yi m vúè ba neè rkwe neè máè a? AÈde' yi ba wa' ka' koo múcaèr. Yu ba buu bbebep ce vi m loèr mncir ce vi m ba bboèñboñ, a vú ba neè rkwe neè máè. Cena yi m ba wa'a, tá beèe a bo rïìñ yuu bbebep. AÈ ka' ba njobeè' yuu ce Nyúè aè laèa, yuu bebep yi bep ghup neè mini- ñwáè.	Did then that which is good become death to me? May it never be! But sin, that it might be shown to be sin, by working death to me through that which is good; that through the commandment sin might become exceeding sinful.
Ñwáè ka' ba ce a m geèe ye búè tá Nyúè ka' ká' ye, ñgaèñ fa keèr roèo nduunjïì mo' ená a gee ye e kúti mbáè'-nsúèr ka'. Ñwáè aè m ka' ba ba mbáè'-nsúèr tá Nyúè ka' ká' ye, e fa geèe búè ka'.	Was anyone called having been circumcised? Let him not become uncircumcised. Has anyone been called in uncircumcision? Let him not be circumcised.
Buu ca vi táá ba aètu buu ce vi yu seè'ni na. Yi duèñshi seèe ená mfa ba btañshïì ce a m ce geèe neè Nyúè naè vi túr ñger aè rgeèe ñwáè tá e riñ ená e yu nrara aè bsii Nyúè ka'.	which is a symbol of the present age, where gifts and sacrifices are offered that are incapable, concerning the conscience, of making the worshipper perfect;
Pol aè ka' ce laèa buu ca aè njáâá wa'a, Fástoès aè waa, a laa enáê, “Poêl, tu yi ce kar wáè embo! Ku' yo ñwaè' ce wáè yá'ni anaè yi geèe wáè ce baa.”	"As he thus made his defense, Festus said with a loud voice, ""Paul, you are crazy! Your great learning is driving you insane!"""
Yuu ce aède' ñwáè gee yi yu ená ká? Yi yu ená ñwáè loo neè Nyúè aè li ce e m be yá'ni ka', ker loo aè li ce e rïìñ, ñwáè yop neè Nyúè aè li ce e m be yá'ni ka', ker yop neè ye aè li ce e rïìñ.	What is it then? I will pray with the spirit, and I will pray with the understanding also. I will sing with the spirit, and I will sing with the understanding also.
Woweèe a koo mbaèa, a gee aèmboè a m laèa neè woweèe. Jus a ku bii ce suñ nsuñ ca aè njáâá wa'a caar ba' ntïìni na.	So they took the money and did as they were told. This saying was spread abroad among the Jews, and continues until this day.
Jisoès aè beesïì enáê, “Mbañruèñwáè caê, ñwáè ce e fa máè ñger ená m sa', káè ená m gap buu neè weèe aè fa nda?”	"But he said to him, ""Man, who made me a judge or an arbitrator over you?"""
E cuè'ni máè mgúr ca aè nyoèr wa'a, a ce kupshi yaè nyor, tá a ka' tuñ máè.	For in pouring this ointment on my body, she did it to prepare me for burial.
Ŋwɛ̀ kaʼ ce gèe ŋgěe bòŋboŋ à toʼ banɛ ŋkʉʉ be lò bùʼ ye.	If a person behaves well in the village, the chief will give him a title.
Kraâis aè m geèe yuu bebep ka', geewa'a, Nyúè aè m geèe e ba aèmboè ñwáè ce e m geèe lá yuu bebep wa'a, tá seèe bo ba byáánïì aè bsii Nyúè aèmboè Nyúè yu, njo' ye.	For him who knew no sin he made to be sin on our behalf; so that in him we might become the righteousness of God.
Mmii mi yû?	When you were eating beans Nfor was not there.
“Weèr aè duè a yá aèmboè a li' shañ boèñboñ seê, ñgaâa ncir a táá njepmbeè a ce keè'ni ñgaâa shañ. Weèr aè ka' múè' shañ, a yá ñwáè mbo ka'.”	We found the prison shut and locked, and the guards standing before the doors, but when we opened them, we found no one inside!
Nyúè ce e ke fa beèe cumúnyañ, ba weèe woweèe wááwá. Yi yu wa'a.	Now the God of peace be with you all. Amen.
Jisoès aè laa neè woweèe enáê, “Mboè weèe aè be be' mbe Ñwaâ' Nyúè enáê, ‘Luèr ce ñgaâa mboo mndap a m maè', aè m kúti ba luèr rbuu ndap’ a? ‘Ca aè m geèe Tata Nyúè, aè ba yuu báèá neè seèe.’	"Jesus said to them, ""Did you never read in the Scriptures, 'The stone which the builders rejected, the same was made the head of the corner. This was from the Lord. It is marvelous in our eyes?'"
AÈde' beèe ce a ce geèe ba buu ce ñwáè koèñ, a gee yuu ce nyor boñ Nyúè ka'.	Those who are in the flesh can't please God.
A ka' maè', ñgúè' moè'sir efa ñgúè' taar efa rdip anaè aè beeñgeèr aè bláá. Ñgúè' moè'sir efa ñgúè' taar efa buu bteèe enjep roè vi kweñgeèr wááwá. Ñgúè' moè'sir efa ñgúè' taar efa bkeñ enjep roè vi bep wááwá.	and one third of the living creatures which were in the sea died. One third of the ships were destroyed.
E lɛɛsi ye nè sàʼ.	He has wounded her with a cutlass.
Yi yu wa'a njobeè' buu ce ñgaâa ncep ntuu Nyúè a m laèa anaè vi m loè ese ñwáè ka'. Yú' Rara yi m niñ njep ntee beèe Nyúè a gee woweèe a fe'shïì blaèa ce Nyúè aè m suñ woweèe.	For no prophecy ever came by the will of man: but holy men of God spoke, being moved by the Holy Spirit.
Ñwaè' ca ce sañ máâ Poêl, ce m yu ñwáè ntuu neè Jisos Kraêis. Nyúè a ñwáè ce e m geèe ená m ba ñwáè ntuu neè Jisoès. Weèr Timotïì ce e yu nfúr yïìseèe ce sañ ñwaè' ca neè cor Nyúè ce e yu aè rla' Koreèn, ker ba neè beèe Nyúè wááwá ce a yu aè ñgoâñ AÈkayaè wááwá.	Paul, an apostle of Christ Jesus through the will of God, and Timothy our brother, to the assembly of God which is at Corinth, with all the saints who are in the whole of Achaia:
Ŋgàʼ à m yuʼ nsuŋ anà a vʉ a be mɛ̀ foŋ.	Ngah heard the news and also consulted me.
AÈ ka' ba aè nfeè' embenjïì, e duñshïì yïì nyor neè beèe a mmbaa ce a m ce duè aè rla' mo', a yááti aè mmïìr aè njáâá jáá.	After these things he was revealed in another form to two of them, as they walked, on their way into the country.
Woweèe a natïì, a du cárcár seê, a du a yá Máèári ba Josáèf, a yá muu aèmboè e noèñ njep rghii.	They came with haste, and found both Mary and Joseph, and the baby was lying in the feeding trough.
AÈ ka' ba seè'ni na ce Jisos Kraâis ce e geèe seèe aè luêñ, aè vúè na, buu ca aè yáátïì aèwañ. Jisos Kraâis ca aè m so rkwe a vú neè ryoèñ ce aètaè li ke mi ka'. Seèe yi buu ca njo' Nsuñ Mboèñmboñ ce a ce feè'shi.	but has now been revealed by the appearing of our Savior, Christ Jesus, who abolished death, and brought life and immortality to light through the Good News.
Ñwáè ce e m kwe na aè natïì mbekïì, a ká' a ce laèa. Jisoès aè koo ye a fa neè yïì maê.	He who was dead sat up, and began to speak. And he gave him to his mother.
Beèe magoèr a be vúè a máâ rlii ce laèa enáê, ‘A máè Kraâis anaè’, bo' beèe magoèr tá a da'.	For many will come in my name, saying, 'I am the Christ,' and will lead many astray.
Weèr ce laèa wa'a, njobeè' weèr aè yu' ená beèe moè' efa weèe a yu bbor. Woweèe a koèñ aè rfaè' ka' a ce kar a ce jepsi ba ntaè'teè beèe moè'.	For we hear of some who walk among you in rebellion, who don't work at all, but are busybodies.
M ̀ kaʼ bipshi nè wɛ̀ banɛ à be bèesi.	If I ask you, therefore you will answer.
Dávïìd ye ye aè m laèa enáê, “Geèe tá yuu ce woweèe a ce yu' rboèñ aègho naè, yi kúti ba taa ce yi be koo woweèe. Geèe tá woweèe a tañte, keèr kote aè yuu anaè, yá ñgá' njo' yap yuu ce a geèe anaè.	"David says, ""Let their table be made a snare, and a trap, a stumbling block, and a retribution to them."
Buu bteèe ce vi m ba kyeèe anaè vi m túr bbaèp ntuunfu ntuunfu, mmir mi ba aègho aèñgoo seê. Mmo' mi m ba mbenduè bbaèp, mmo' mi ba nje múè bbaèp. Vi m ce yoèp yáá a ce buumi aè nfeè' moè' ka', káè neètú' áè, káè neèmootïì áè. Vi m ce yoèp enáê, “Nyúè yu nrara, Nyúè yu nrara, Nyúè yu nrara, ñger wááwá yi yu mbaè mmbo Tata Nyúè. E m ba, a ba aègho seè'ni na, aè ku ba ye ce e be vúè.”	"The four living creatures, each one of them having six wings, are full of eyes around and within. They have no rest day and night, saying, ""Holy, holy, holy is the Lord God, the Almighty, who was and who is and who is to come!"""
Jisoès aè beesïì a laa neè woweèe enáê, “Fa neè woweèe yuu tá a ye.” Woweèe a beesïì enáê, “Baná weèr lor baèa mbaâa bbaa, du yuu bráâd aègho neè woweèe a?”	"But he answered them, ""You give them something to eat."" They asked him, ""Shall we go and buy two hundred denarii worth of bread, and give them something to eat?"""
Zhi yu àtɛ̀r enɛ mbʉ maʼ mmbùu kaʼ.	It is not possible for a goat to lay eggs.
Wɛwɛ̀ be fʉʉ du yɛ nè mo mmir.	You shall go and see it yourself.
E m laèa enáê, “Rbuu ba nshe a ka' ba ce tarte, m buu efa rghoèni wáè keèr geèe tá yoè ñgúè yaa ka'.”	"saying, ""Surely blessing I will bless you, and multiplying I will multiply you."""
E ka' bi, baná e be kep njobeè' nfeè' rkep aè gháá.”	"But when the fruit is ripe, immediately he puts forth the sickle, because the harvest has come."""
Mɛ̀ yɛ àmbò Tàta ce lùŋge nè ma bǎa kwâa.	I have seen Tata struggling with a big bag of corn.
Yá neè yuu ce Nyúè aè m geèe neè vi bcïìndap mo' ce a m geèe buu bbebep naè. Nyúè aè m buu efa rfa woweèe ñgá' ka'. E m maè' woweèe njep mor. Woweèe a noèñ njep ma beè'teè ce yi coomi neè bshañ aè mkoo. Njo yi ce sii mbïûñ mbïûñ. Woweèe a be cu njo duè baè' aè nfeè' ce Nyúè be sa' ñgoèñ.	For if God didn't spare angels when they sinned, but cast them down to Tartarus, and committed them to pits of darkness, to be reserved for judgment;
Mbèŋ à gwè ntìni sê.	The rain has fallen today heavily.
AÈmboè aè be laèa neè ye ba enáê, ‘Fáèr máè byee, yar cáâ' rfaè' caasi byee neè máè tá m ye no yuu, máâ mïìsi wáá, wá wáè ka' ye yuu, ker no yuu’ a?	and will not rather tell him, 'Prepare my supper, clothe yourself properly, and serve me, while I eat and drink. Afterward you shall eat and drink'?
Ñwáè ka' ce loo neè Nyúè aè njáèá li anaè baná ñgaèñ ku ce loo ba enjep ntee, a ke' riñ yuu ce e ce loo ka'.	For if I pray in another language, my spirit prays, but my understanding is unfruitful.
Máè koèñ máná buu moè' ba ce vi be fa weèe ñgá' ka'. Ñwáè ce e cu ñkúè e ke kwaè'shi aèmboè buu ce Tata Jisoès aè koèñ ená e gee tá nyor boñ ye.	But I desire to have you to be free from cares. He who is unmarried is concerned for the things of the Lord, how he may please the Lord;
Wáè maè'shi ntaañguu nje rlïìr nje wáè, a ce fyá' ba ñkúè' ce ce yi yu nfúroè nje rlïìr njoká?	Why do you see the speck of chaff that is in your brother's eye, but don't consider the beam that is in your own eye?
E ká' beèe ce a m ba aèfo, a laa neè woweèe enáê, “Yu'shi neè boèñboñ.	"He summoned the multitude, and said to them, ""Hear, and understand."
E beesïì neè woweèe enáê, “Wee weèe aè be riñ buu foñ ka' a? Mboè weèe yi weená aède' yuu ce yi ke niñ njep ñwáè yi gee ñwáè e bep aè bsii Nyúè ka' ka' a?	"He said to them, ""Are you thus without understanding also? Don't you perceive that whatever goes into the man from outside can't defile him,"
Ñgaâa yá'ni buu Joân a ka' naèti ce duè, Jisoès aè ká' a ce suñ ku' kúr beèe ca buu kuu Joân. E m laèa enáê, “Weèe aè m fúú a du aè ntee rïìñ ba aè ryá ká? Weèe aè m duè aè ryá aèmboè fu' yi ce cïì' ñke' a?	"As these went their way, Jesus began to say to the multitudes concerning John, ""What did you go out into the wilderness to see? A reed shaken by the wind?"
AÈmboè seèe aè rïìñ seená Nyúè e ke kupse mi mkaè'ni ka' naè, aède' viseèe mntee vi ker bu' ka'. Baná seèe aè tii ndaèñ a niñ mbe dïû' rara embe Ndaèp Nyúè.	This hope we have as an anchor of the soul, a hope both sure and steadfast and entering into that which is within the veil;
Baná weèe lor nfeè', njobeè' máè suñ weèe buu ca tá nfeè' ka' gháá.	"But you watch. ""Behold, I have told you all things beforehand."
Yi ka' ba wa'a, baná yi be ba aè njáâá ká neè ñwáè ce e nyúè' muu Nyúè, a loèr bláá ce a m ye leè' aègho aè ba bláá ce vi geèe ye e ba nrara naè aè yuu cicïì, a ker cáp Yú' Nyúè ce yi ke vúè neè bghoènïì naè?	How much worse punishment, do you think, will he be judged worthy of, who has trodden under foot the Son of God, and has counted the blood of the covenant with which he was sanctified an unholy thing, and has insulted the Spirit of grace?
E ke geèe wa'a njobeè' cor yu yïì nyor. Seèe ce seèe yu ñgaâa coêr, seèe yu mñgúè' mo' efa yïì nyor.)	because we are members of his body, of his flesh and bones.
Máè yá ya máná e ka' cu neè yi tu, e yu' rboèñ seê. Máè byemi máná yuu máè laèa na, yi vúè ba ese Yú' Nyúè.	But she is happier if she stays as she is, in my judgment, and I think that I also have God's Spirit.
E be dù kaʼ.	She will not go.
Sò à mʉ kàʼni enɛ sò be tarte à cii Ntaalaʼ laŋ.	We promised that we were going to meet on Ntala, didnʼt we?
Mbʉ e ke luuti ce war ker ce cɛ̀ni gòr.	When a goat is in labour it cries and urinates much.
Buu ca vi ce koni wa'a, tá a lo yá aèmboè Muu Ñwáè ce vúè mbe múè mmbaè' neè ñger-ñwáè ba neè foèo-ñwáè.	Then they will see the Son of Man coming in a cloud with power and great glory.
Ŋwɛ̀ kaʼ lip wɛ̀ à fa kʉʉsi zhii kaʼ.	If a person beats you, don’t back it.
Weèe aè be riñ buu ka' a? Mboè weèe ce kuushi bráâd ta ce a m nyañ beèe ncúèkïì ta aègho ker ba mñkaèa ce weèe aè m baashi bbábá' aègho naè ka' a?	Don't you yet perceive, neither remember the five loaves for the five thousand, and how many baskets you took up?
Yi ba ba wa'a, yi ba ba ená beèe ce a m byemi neè Jisos Kraâis foñ, a kweñger naè a bú aè cicïì.	Then they also who are fallen asleep in Christ have perished.
Túè' aè ka' ce raa, Jisoès aè táá aèwaâa roè. Ñgaâa yá'ni yïì buu a ke' riñ ená a Jisoès ka'.	But when day had already come, Jesus stood on the beach, yet the disciples didn't know that it was Jesus.
Máè rïìñ máná woweèe a m ku fa ba aèmboè aède' woweèe a m ba fa ka', woweèe a m fa a caa embo. AÈ m laèa ba ñwáè neè woweèe ená woweèe a fa wa' ka', aè m ku kwa'shi ba woweèe a fa wa'a.	For according to their power, I testify, yes and beyond their power, they gave of their own accord,
Jisoès aè laa neè ye enáê, “Mboè máè ba suñ wáè ená aè be yá ñger Nyúè ce wáè ka' byemi a?”	"Jesus said to her, ""Didn't I tell you that if you believed, you would see God's glory?"""
Seèe aè ka' laa seená ñger anaè yi m loè ese ñwáè, baná beèe wááwá a be túúshi seèe neè bluèr, njobeè' woweèe a byemi ená Joân aè m ba ñwáè ncep ntuu Nyú.”	"But if we say, 'From men,' all the people will stone us, for they are persuaded that John was a prophet."""
E du a koo ye aè boè, a naa mbekïì, mbáp caè aè bornïì, e ká' a ce fáèr byee neè woweèe.	He came and took her by the hand, and raised her up. The fever left her, and she served them.
Baná Muu Nyúè aè ka' gee weèe luêñ, baná weèe aè luèñ neè mini-ñwáè ghup.	If therefore the Son makes you free, you will be free indeed.
Ndeèe beèe ca aè boñ a caa ndeèe beèe embe ndaèp rloo ce aè rla' Táèsaèlonikaè, njobeè' woweèe a m koèñ aè ryu'shi blaâa Nyúè seê, a ce beè' Ñwaâ' Nyúè aè mnoèñ wááwá tá a bo yá ená yuu ce Pol aè m ce laèa yi m ba mini lá.	Now these were more noble than those in Thessalonica, in that they received the word with all readiness of the mind, examining the Scriptures daily to see whether these things were so.
